instance,step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
G33,0,2.0,1.0,-698.09716796875,-698.09716796875,-15.0,-15.0,-28.0,54.0,54.0,1386.1943359375,-20.000038146972656,0.010099499486386776,0.010054475627839565,0.010143536143004894,0.010099247097969055,0.010099247097969055,-1.4899298150794493e-07,6.969316746108234e-05,0.038937605917453766,3.957292574341409e-05
G33,1,14.510510444641113,0.9989989995956421,-100.70849609375,-100.70849609375,-15.0,-15.0,-25.21875,48.0,54.0,1386.1923828125,-20.178274154663086,0.010199987329542637,0.010154515504837036,0.010244457051157951,0.010199971497058868,0.010199971497058868,-3.380491619964232e-08,1.491749117121799e-05,0.03945055231451988,0.00028192289755679667
G33,2,27.021020889282227,0.9979979991912842,-56.659542083740234,-56.659542083740234,-15.0,-15.0,-31.96875,54.0,54.0,1386.190185546875,-20.359102249145508,0.010301503352820873,0.010255583561956882,0.010346410796046257,0.010301397182047367,0.010301397182047367,9.456682192876542e-08,4.573795013129711e-05,0.039812732487916946,7.096212357282639e-05
G33,3,39.531532287597656,0.9969969987869263,-40.60630416870117,-40.60630416870117,-15.0,-15.0,-30.6875,74.0,74.0,1386.188232421875,-20.540924072265625,0.010404073633253574,0.010357700288295746,0.010449424386024475,0.01040392741560936,0.01040392741560936,1.2985070441118296e-07,5.337132097338326e-05,0.04016886651515961,0.00018442478904034942
G33,4,52.04204177856445,0.9959959983825684,-32.36042785644531,-32.36042785644531,-15.0,-15.0,-31.75,44.0,74.0,1386.18603515625,-20.724538803100586,0.010507723316550255,0.010460893623530865,0.010553520172834396,0.010507662780582905,0.010507662780582905,9.427222380509193e-08,3.392028884263709e-05,0.040526192635297775,0.00021716002083849162
G33,5,64.55255126953125,0.9949949979782104,-27.383869171142578,-27.383869171142578,-15.0,-15.0,-28.53125,40.0,74.0,1386.183837890625,-20.91014289855957,0.010612478479743004,0.010565187782049179,0.010658727958798409,0.010612470097839832,0.010612470097839832,1.766666635205638e-08,1.0856019798666239e-05,0.040886372327804565,0.0001404927170369774
G33,6,77.06306457519531,0.9939939975738525,-24.08509063720703,-24.08509063720703,-15.0,-15.0,-37.0625,60.0,74.0,1386.181640625,-21.097461700439453,0.010718369856476784,0.010670612566173077,0.01076507568359375,0.010718327015638351,0.010718327015638351,-5.956654547389917e-08,2.9475160772562958e-05,0.04124930873513222,5.505005901795812e-05
G33,7,89.57357025146484,0.9929929971694946,-21.761762619018555,-21.761762619018555,-15.0,-15.0,-34.625,58.0,74.0,1386.179443359375,-21.28644561767578,0.010825423523783684,0.010777193121612072,0.010872590355575085,0.010825341567397118,0.010825341567397118,-1.026664335768146e-07,4.089519279659726e-05,0.04161510616540909,0.00011965884186793119
G33,8,102.0840835571289,0.9919919967651367,-20.056081771850586,-20.056081771850586,-15.0,-15.0,-34.96875,48.0,74.0,1386.177001953125,-21.477304458618164,0.01093366276472807,0.010884955525398254,0.010981297120451927,0.01093360036611557,0.01093360036611557,-9.841630799201084e-08,3.5210825444664806e-05,0.041984256356954575,0.00016507189138792455
G33,9,114.59459686279297,0.9909909963607788,-18.76653480529785,-18.76653480529785,-15.0,-15.0,-12.921875,66.0,74.0,1386.1748046875,-21.670198440551758,0.01104312390089035,0.01099393516778946,0.011091228574514389,0.011043103411793709,0.011043103411793709,-5.595423857585047e-08,1.9380629964871332e-05,0.04235714673995972,0.0001445393281755969
G33,10,127.1051025390625,0.9899899959564209,-17.770841598510742,-17.770841598510742,-15.0,-15.0,-69.84375,6.0,74.0,1386.17236328125,-21.865123748779297,0.011153830215334892,0.011104153469204903,0.011202412657439709,0.011153822764754295,0.011153822764754295,3.2791478421501097e-09,8.894469829101581e-06,0.04273378849029541,8.150872599799186e-05
