instance,nodes,edges,mode,gamma_mode,gamma_max,gamma_min,n_steps,replicas,seed,lr,beta_min,beta_max,best_cut,best_value,gap,percent_accuracy,best_step,best_replica,runtime_sec,vanilla_cut,vanilla_gap,vanilla_percent_accuracy,vanilla_runtime_sec,delta_cut_vs_vanilla,delta_gap_vs_vanilla,delta_accuracy_vs_vanilla,runtime_ratio_vs_vanilla,history_path,summary_path
G11,800,1600,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,556.0,564,8.0,98.58156028368795,323,48,20.26449728012085,526.0,38.0,93.26241134751773,4.2451012134552,30.0,30.0,5.319148936170222,4.773619346434154,qefem_v1_outputs/G11_qefem_anneal_history.csv,qefem_v1_outputs/G11_qefem_anneal_summary.csv
G12,800,1600,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,550.0,556,6.0,98.92086330935251,303,92,20.75463604927063,520.0,36.0,93.5251798561151,4.228103876113892,30.0,30.0,5.39568345323741,4.908733715489152,qefem_v1_outputs/G12_qefem_anneal_history.csv,qefem_v1_outputs/G12_qefem_anneal_summary.csv
G13,800,1600,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,580.0,582,2.0,99.65635738831615,312,10,20.25663113594055,542.0,40.0,93.12714776632302,4.163055896759033,38.0,38.0,6.529209621993132,4.865808107863859,qefem_v1_outputs/G13_qefem_anneal_history.csv,qefem_v1_outputs/G13_qefem_anneal_summary.csv
G14,800,4694,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3040.0,3064,24.0,99.21671018276763,454,53,20.271545886993408,3022.0,42.0,98.62924281984334,4.293622016906738,18.0,18.0,0.5874673629242864,4.721315897666669,qefem_v1_outputs/G14_qefem_anneal_history.csv,qefem_v1_outputs/G14_qefem_anneal_summary.csv
G15,800,4661,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3025.0,3050,25.0,99.18032786885246,387,67,20.780205011367798,2998.0,52.0,98.29508196721312,4.4972710609436035,27.0,27.0,0.8852459016393368,4.620625425901671,qefem_v1_outputs/G15_qefem_anneal_history.csv,qefem_v1_outputs/G15_qefem_anneal_summary.csv
G16,800,4672,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3027.0,3052,25.0,99.18086500655308,519,81,20.05973982810974,2995.0,57.0,98.13237221494104,4.5252580642700195,32.0,32.0,1.0484927916120341,4.432838866471503,qefem_v1_outputs/G16_qefem_anneal_history.csv,qefem_v1_outputs/G16_qefem_anneal_summary.csv
G17,800,4667,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3021.0,3047,26.0,99.14670167377749,483,14,20.20124101638794,2995.0,52.0,98.29340334755496,4.386743783950806,26.0,26.0,0.8532983262225287,4.605065171641782,qefem_v1_outputs/G17_qefem_anneal_history.csv,qefem_v1_outputs/G17_qefem_anneal_summary.csv
G18,800,4694,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,978.0,992,14.0,98.58870967741936,378,1,20.259756088256836,928.0,64.0,93.5483870967742,4.460267066955566,50.0,50.0,5.040322580645153,4.542274214554038,qefem_v1_outputs/G18_qefem_anneal_history.csv,qefem_v1_outputs/G18_qefem_anneal_summary.csv
G19,800,4661,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,876.0,906,30.0,96.6887417218543,383,7,20.099334001541138,838.0,68.0,92.49448123620309,4.415109157562256,38.0,38.0,4.194260485651213,4.552397978001232,qefem_v1_outputs/G19_qefem_anneal_history.csv,qefem_v1_outputs/G19_qefem_anneal_summary.csv
G20,800,4672,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,930.0,941,11.0,98.83103081827842,495,37,20.358791828155518,876.0,65.0,93.0924548352816,4.561956882476807,54.0,54.0,5.738575982996821,4.4627321898540595,qefem_v1_outputs/G20_qefem_anneal_history.csv,qefem_v1_outputs/G20_qefem_anneal_summary.csv
G21,800,4667,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,915.0,931,16.0,98.28141783029001,367,22,20.777416944503784,863.0,68.0,92.69602577873256,4.410199880599976,52.0,52.0,5.585392051557449,4.711218880554949,qefem_v1_outputs/G21_qefem_anneal_history.csv,qefem_v1_outputs/G21_qefem_anneal_summary.csv
G22,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,13312.0,13359,47.0,99.64817725877685,417,62,27.094208002090454,12995.0,364.0,97.27524515308032,9.472377061843872,317.0,317.0,2.3729321056965347,2.860338838413634,qefem_v1_outputs/G22_qefem_anneal_history.csv,qefem_v1_outputs/G22_qefem_anneal_summary.csv
G23,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,13303.0,13344,41.0,99.69274580335731,386,126,24.8734450340271,13020.0,324.0,97.57194244604317,9.4221351146698,283.0,283.0,2.120803357314145,2.6398947511695487,qefem_v1_outputs/G23_qefem_anneal_history.csv,qefem_v1_outputs/G23_qefem_anneal_summary.csv
G24,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,13290.0,13337,47.0,99.64759691084951,520,115,14.204174757003784,12987.0,350.0,97.37572167653894,9.526203155517578,303.0,303.0,2.2718752343105706,1.4910635984890501,qefem_v1_outputs/G24_qefem_anneal_history.csv,qefem_v1_outputs/G24_qefem_anneal_summary.csv
G25,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,13284.0,13340,56.0,99.58020989505248,441,37,27.558263063430786,12977.0,363.0,97.27886056971514,9.20039176940918,307.0,307.0,2.301349325337341,2.995335824183114,qefem_v1_outputs/G25_qefem_anneal_history.csv,qefem_v1_outputs/G25_qefem_anneal_summary.csv
G26,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,13270.0,13328,58.0,99.56482593037215,444,60,27.294161081314087,12987.0,341.0,97.44147659063626,8.947652101516724,283.0,283.0,2.1233493397358956,3.050427170350916,qefem_v1_outputs/G26_qefem_anneal_history.csv,qefem_v1_outputs/G26_qefem_anneal_summary.csv
G27,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3310.0,3341,31.0,99.07213409158935,474,12,28.124907970428467,2989.0,352.0,89.4642322657887,9.232369899749756,321.0,321.0,9.607901825800653,3.0463367776447945,qefem_v1_outputs/G27_qefem_anneal_history.csv,qefem_v1_outputs/G27_qefem_anneal_summary.csv
G28,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3275.0,3298,23.0,99.30260764099454,585,41,25.57953906059265,2956.0,342.0,89.63007883565798,9.349376916885376,319.0,319.0,9.672528805336555,2.735961902915146,qefem_v1_outputs/G28_qefem_anneal_history.csv,qefem_v1_outputs/G28_qefem_anneal_summary.csv
G29,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3351.0,3405,54.0,98.41409691629956,484,21,23.624019145965576,3042.0,363.0,89.33920704845815,9.861697912216188,309.0,309.0,9.074889867841406,2.3955326310189746,qefem_v1_outputs/G29_qefem_anneal_history.csv,qefem_v1_outputs/G29_qefem_anneal_summary.csv
G30,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3367.0,3413,46.0,98.65221213009083,399,37,24.982272148132324,3045.0,368.0,89.21769704072663,8.9722900390625,322.0,322.0,9.434515089364197,2.7843808034924695,qefem_v1_outputs/G30_qefem_anneal_history.csv,qefem_v1_outputs/G30_qefem_anneal_summary.csv
G31,2000,19990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3282.0,3310,28.0,99.15407854984895,414,13,29.08172369003296,2969.0,341.0,89.69788519637463,9.1356360912323,313.0,313.0,9.456193353474319,3.1833277288642683,qefem_v1_outputs/G31_qefem_anneal_history.csv,qefem_v1_outputs/G31_qefem_anneal_summary.csv
G32,2000,4000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,1388.0,1410,22.0,98.43971631205673,326,91,28.73222589492798,1300.0,110.0,92.19858156028369,9.140945196151732,88.0,88.0,6.241134751773046,3.1432445199457084,qefem_v1_outputs/G32_qefem_anneal_history.csv,qefem_v1_outputs/G32_qefem_anneal_summary.csv
G33,2000,4000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,1364.0,1382,18.0,98.69753979739508,345,26,29.128526210784912,1266.0,116.0,91.60636758321272,9.095096826553345,98.0,98.0,7.0911722141823645,3.2026625737225256,qefem_v1_outputs/G33_qefem_anneal_history.csv,qefem_v1_outputs/G33_qefem_anneal_summary.csv
G34,2000,4000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,1362.0,1384,22.0,98.41040462427746,337,102,28.94789409637451,1272.0,112.0,91.90751445086704,9.529507160186768,90.0,90.0,6.502890173410421,3.0377115636489185,qefem_v1_outputs/G34_qefem_anneal_history.csv,qefem_v1_outputs/G34_qefem_anneal_summary.csv
G35,2000,11778,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7612.0,7687,75.0,99.02432678548199,458,121,29.154829740524292,7523.0,164.0,97.86652790425391,8.681002140045166,89.0,89.0,1.157798881228075,3.358463604799043,qefem_v1_outputs/G35_qefem_anneal_history.csv,qefem_v1_outputs/G35_qefem_anneal_summary.csv
G36,2000,11766,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7599.0,7680,81.0,98.9453125,557,27,28.860679149627686,7515.0,165.0,97.8515625,8.722572088241577,84.0,84.0,1.09375,3.3087349531376407,qefem_v1_outputs/G36_qefem_anneal_history.csv,qefem_v1_outputs/G36_qefem_anneal_summary.csv
G37,2000,11785,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7619.0,7691,72.0,99.063840852945,644,17,27.966832876205444,7520.0,171.0,97.77662202574436,8.150532960891724,99.0,99.0,1.2872188272006468,3.4312888507288095,qefem_v1_outputs/G37_qefem_anneal_history.csv,qefem_v1_outputs/G37_qefem_anneal_summary.csv
G38,2000,11779,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7616.0,7688,72.0,99.06347554630594,424,113,29.44264793395996,7514.0,174.0,97.73673257023934,8.672926902770996,102.0,102.0,1.3267429760665976,3.3947764421435456,qefem_v1_outputs/G38_qefem_anneal_history.csv,qefem_v1_outputs/G38_qefem_anneal_summary.csv
G39,2000,11778,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2336.0,2408,72.0,97.00996677740864,419,122,29.048542022705078,2188.0,220.0,90.86378737541528,8.836483001708984,148.0,148.0,6.146179401993351,3.287342036089139,qefem_v1_outputs/G39_qefem_anneal_history.csv,qefem_v1_outputs/G39_qefem_anneal_summary.csv
G40,2000,11766,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2296.0,2400,104.0,95.66666666666667,446,17,28.897351026535034,2183.0,217.0,90.95833333333331,8.739481925964355,113.0,113.0,4.708333333333357,3.3065290678939605,qefem_v1_outputs/G40_qefem_anneal_history.csv,qefem_v1_outputs/G40_qefem_anneal_summary.csv
G41,2000,11785,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2289.0,2405,116.0,95.17671517671518,475,10,27.832200050354004,2193.0,212.0,91.18503118503118,8.396402835845947,96.0,96.0,3.991683991683999,3.3147766483442997,qefem_v1_outputs/G41_qefem_anneal_history.csv,qefem_v1_outputs/G41_qefem_anneal_summary.csv
G42,2000,11779,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2381.0,2481,100.0,95.96936719064894,466,122,28.917618989944458,2273.0,208.0,91.61628375654978,8.13830304145813,108.0,108.0,4.353083434099162,3.5532738019993078,qefem_v1_outputs/G42_qefem_anneal_history.csv,qefem_v1_outputs/G42_qefem_anneal_summary.csv
G43,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6652.0,6660,8.0,99.87987987987988,479,59,20.944124937057495,6514.0,146.0,97.8078078078078,5.288885831832886,138.0,138.0,2.072072072072075,3.9600259115064356,qefem_v1_outputs/G43_qefem_anneal_history.csv,qefem_v1_outputs/G43_qefem_anneal_summary.csv
G44,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6638.0,6650,12.0,99.81954887218045,480,60,21.206207036972046,6495.0,155.0,97.66917293233082,4.969285011291504,143.0,143.0,2.1503759398496243,4.267456382313762,qefem_v1_outputs/G44_qefem_anneal_history.csv,qefem_v1_outputs/G44_qefem_anneal_summary.csv
G45,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6633.0,6654,21.0,99.6844003606853,406,59,21.19599413871765,6503.0,151.0,97.7306883077848,5.010603189468384,130.0,130.0,1.9537120529004994,4.230228045850605,qefem_v1_outputs/G45_qefem_anneal_history.csv,qefem_v1_outputs/G45_qefem_anneal_summary.csv
G46,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6627.0,6649,22.0,99.6691231764175,357,108,20.958252906799316,6492.0,157.0,97.6387426680704,5.081945896148682,135.0,135.0,2.0303805083470934,4.124060612822027,qefem_v1_outputs/G46_qefem_anneal_history.csv,qefem_v1_outputs/G46_qefem_anneal_summary.csv
G47,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6638.0,6657,19.0,99.71458614991738,383,79,21.260555028915405,6522.0,135.0,97.97205948625506,5.081185817718506,116.0,116.0,1.7425266636623178,4.184171921990755,qefem_v1_outputs/G47_qefem_anneal_history.csv,qefem_v1_outputs/G47_qefem_anneal_summary.csv
G48,3000,6000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6000.0,6000,0.0,100.0,667,81,28.476684093475342,5468.0,532.0,91.13333333333333,8.409759998321533,532.0,532.0,8.866666666666674,3.3861470599825534,qefem_v1_outputs/G48_qefem_anneal_history.csv,qefem_v1_outputs/G48_qefem_anneal_summary.csv
G49,3000,6000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6000.0,6000,0.0,100.0,629,126,26.812452793121338,5514.0,486.0,91.9,13.097512006759644,486.0,486.0,8.099999999999994,2.0471409210606866,qefem_v1_outputs/G49_qefem_anneal_history.csv,qefem_v1_outputs/G49_qefem_anneal_summary.csv
G50,3000,6000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,5852.0,5880,28.0,99.52380952380952,386,50,23.10622811317444,5494.0,386.0,93.43537414965986,12.831797122955322,358.0,358.0,6.088435374149654,1.800700859884916,qefem_v1_outputs/G50_qefem_anneal_history.csv,qefem_v1_outputs/G50_qefem_anneal_summary.csv
G51,1000,5909,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3819.0,3848,29.0,99.24636174636174,496,107,21.2271671295166,3779.0,69.0,98.20686070686072,4.854330062866211,40.0,40.0,1.039501039501019,4.372831442158497,qefem_v1_outputs/G51_qefem_anneal_history.csv,qefem_v1_outputs/G51_qefem_anneal_summary.csv
G52,1000,5916,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3825.0,3851,26.0,99.32485068813295,582,96,21.26980495452881,3779.0,72.0,98.1303557517528,5.070261240005493,46.0,46.0,1.1944949363801527,4.195011646876358,qefem_v1_outputs/G52_qefem_anneal_history.csv,qefem_v1_outputs/G52_qefem_anneal_summary.csv
G53,1000,5914,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3828.0,3850,22.0,99.42857142857143,468,27,22.460280656814575,3778.0,72.0,98.12987012987011,5.002832889556885,50.0,50.0,1.2987012987013173,4.489512472762996,qefem_v1_outputs/G53_qefem_anneal_history.csv,qefem_v1_outputs/G53_qefem_anneal_summary.csv
G54,1000,5916,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3820.0,3852,32.0,99.16926272066459,463,21,21.43343496322632,3778.0,74.0,98.07892004153686,4.496581792831421,42.0,42.0,1.0903426791277298,4.766606269098921,qefem_v1_outputs/G54_qefem_anneal_history.csv,qefem_v1_outputs/G54_qefem_anneal_summary.csv
