-266.25,-89.25,131.75,43.25,-116.75,126.75,-31.25,-38.25,20.25,78.5,-71.5,36.5,27.25,21.75,-1.25,-11.5,-35.25,16.25,-48.25,-127.5,-138.5,4,-122,-6.5,38.75,-3.5,90.75,25.5,62.75,-119.25,-37.25,20,30,-30.5,-15.25,-86.25,61,-17.5,155.25,-59,-76.75,74.75,102.5,-62.75,89.5,-95.75,42.5,71.5,37.75,95.5,-103.5,13.5,-29.75,23.25,97,-97.25,-56.5,99.25,103.5,102,56.5,-4.75,-15.75,16.75,-34.5,134.25,-18.25,45.25,4,8.5,3,7.75,-68,-104.25,95.25,102.25,-39,-100.75,-48.5,26,130.25,-33,-82.25,48,17.75,-69.75,-105.25,94.75,138.5,-1.5,-77.5,-90.75,-115,38.25,-88.25,130.25,40.25,12.75,56.25,-24.25,-63.25,-20.25,32,37.5,-135,-88.5,80,47,13.5,-119.5,108.5,-49,-13.5,-70,84.5,174.75,6,76.75,10.25,171,-105.75,139,-80,2.5,-9.75,0,-96,-55,-61.5,97.25,14.5,-60.75,-30,-116.5,15.5,-6.25,-152.25,31.25,-28.25,33.25,83,-126.5,25,-76,-52.25,-102.5,80.25,52.25,91.5,44.75,133.25
-89.25,25,-0.75,12,-8.5,0,9.25,-9.5,7.75,-5.5,-5.5,0,-6,-0.75,10.75,4.5,9.25,7.25,9.75,-4.75,11.75,-0.75,0,5.75,-4.25,0,-6.25,3.75,-5.5,3,0,10,0,3.25,-3,-4.25,-7.75,-3.5,11.5,11.25,0,7.75,-11.25,0,4.75,-0.75,12,-11.75,1,-12.25,-10.75,0,-9.75,0,12.25,-2.75,5.25,-0.75,0,-1,0,10.25,0,-6.25,11,-10.5,0,0,-11.5,10,0,1.5,-4.25,-11.25,-2.25,0,-3.5,0,0,6.5,-3,12.25,11,5.75,-11.25,-12,11,3.5,-7.25,5.25,0,12.5,-1,10,-4,9.5,-9,-6.75,0,7.5,11.5,0,10.5,0,4.75,0,11,-6.5,0.75,-0.5,-11.25,0,0,-10.25,-12.5,-1.25,-11,7,2.5,11.25,3.5,3,-3.75,3.5,10.75,0,-4,8.75,0,-9.5,8.75,-5.5,-3,5.5,7.25,9.25,9.25,-12.5,0,-8,-12.5,7,-1.5,0,0,3.25,0,0,-3.5,-8.75,-9
131.75,-0.75,-1,0,0,0,3.5,10.25,12.25,-4,10,-8.5,-6.25,-11.5,-5.75,0,5.75,-1.25,-2.75,0,0,-2.5,0,0,-5.75,-1,-1.25,-12.5,-2.25,3.75,3,3.5,-8,0,7,0,-2.25,0,-11,-3.5,-1.75,0,6,12.5,0,-11.5,-9,-8.75,0,0,0,-7.5,0,5.75,-0.5,-0.25,0,0,-2.75,0.25,7.25,-12.5,-10.25,0,-1.5,-8,0,9.75,-2.75,-5.25,-1.75,-7.25,-3.5,-0.75,-1,3.25,0,-3.75,5.5,0,1,12.25,-1,0,9.25,-8,2.5,-7.75,0,0,6.75,0,-5.75,-2.75,-9,0,0,-5.5,-3.5,12.5,0,1.5,-9.75,12,2.5,5.75,12,-8.75,-7.75,0,-0.75,-6.5,5,-6.5,-7.75,-11.25,-8,2.5,8.75,8.75,11.25,2.25,-4,5,0,0,-0.25,-6.5,-10.5,0.5,-9.25,7.5,0,-8.25,-11.75,10.75,-1,0,10,-9,6,-9,-11.5,-4.25,-5.75,-7.5,0,-4.25,1,-1.5,8.25
43.25,12,0,-2.75,-7.5,-11.5,-9.25,-7.25,6,11.25,-0.75,-6.5,-9.25,7,1,-8.75,-12.5,-3,-0.5,0.75,12.5,12.5,10.25,-10.25,5.75,0,-4.25,-5.75,-5.5,-8,4,-8.5,4.75,3,4.25,11.25,0,-0.5,-9,-9,0,0,4.5,-1.5,-7.75,-7.25,-1.5,10.75,-6.75,9.25,10,9.25,0,0,0,-4.75,0,9.5,-7,0,11.5,0,-6.75,-11,-12,5.5,-1.25,-2.25,2.5,-5.25,4.75,-3.25,0,-11.5,0,12,-11,2.25,0,-9.5,-1,-7.25,8,-7.25,0,12.25,-4.5,0,-0.75,7,2.75,-10.25,5.75,0,-7.5,0.75,0,11.25,10,0,7.25,3.75,4.5,-8,-1.75,-3.75,-11.25,1.5,6.25,7,-11.5,6,-1,9.75,6.5,3.75,10.75,-5.75,11.75,0.5,-1.75,-7.25,-10.25,-1.25,9.75,4.75,0.5,12.25,0,0,-4.75,0,-5.25,11.25,-10.5,-9.75,-7,-8.75,-6.5,5.5,0,-8.75,11,-3.75,-2.75,2,0,-11.25,-2.5,-4.5,3.25
-116.75,-8.5,0,-7.5,16.75,10.25,4.5,0,11,10.25,-1.75,8,-4.25,11,0,-9.5,-12.25,0,3.25,-7,0,-8.25,5.75,10.5,-3.5,-8.25,0,-8.25,-6.25,4.25,12.5,-11.75,-7.25,9.75,12.25,-4.75,0,12.25,-12.25,4.5,-3.75,-2.75,0,9.25,-12.25,0,-6.25,0,12,4,10.75,0,5.75,8.25,-1.5,-9.25,-1,-0.25,-3.5,-8.5,8.75,9.5,6,0.25,-6.25,6.5,11.75,2.25,10.5,10,-9.75,7,0,0,5.5,0,-3.5,-10,8,0,7.5,0,-10.5,-8.25,10.5,0,0,0,-7.25,0,-2.5,9,4.25,-7.25,0,0,4.75,-5.75,4.5,6.75,-11.25,8.25,12.5,2,9.75,0,-0.25,-11.5,5,-11.5,-5.5,9,9,0.25,0,-10,-6.5,2.5,0,0,1,1.75,0,0,0,7.25,-8,1.75,3.75,-10,11.75,12.5,-5,6.25,-2.25,-12,0,11.5,-7,0,-7.75,11.25,-4,0,0.75,0,-8.5,1.25,0,8,12
126.75,0,0,-11.5,10.25,-10.25,2.5,-5.75,4.25,-6.25,0,4,0.25,-10,9.75,4.5,-12,10.75,-6,12.5,1.5,10.75,0,-12.5,-12.5,-4.75,-5.75,12,0,9,-10.75,-9.75,6.25,-2.75,0,0,0.75,0,0,0.25,-10,-11,-2.75,-4.25,-12,-3.5,7.75,-3.75,0,0,0,0,0,-7.5,-11,0.5,0,-4,0,0,10.75,3.25,-9.75,-12.25,7.25,0,-6.75,10.75,10.5,6,-6.75,-10.25,-9.25,4.75,-7.25,-12,-8,-4.75,0.25,-6.5,-9,12,5.5,0,10,-3.5,0,10.75,2,3.5,0.75,-5,4.75,-9,4.75,0.25,11.75,0,0,0,4,-7.5,0,-1.5,-6,2,0,1.25,0,8.75,-8,-2.75,-11.75,4.25,-4.75,-9.75,8.5,2,0,-9.25,7.25,0,9.75,-4.5,1.25,-12,-8.75,11.25,-0.75,4.5,-8.5,-11,8,-11.75,12.25,11,0,-4,-5,0,-6.25,-9,0,0,0,-1,8,-7.25,-4.75,2,6.25
-31.25,9.25,3.5,-9.25,4.5,2.5,5.5,8.25,0,11.75,0,5,4,0,-10.25,4.5,7.25,-0.75,8,8.5,-2.75,11,6.5,0,10.75,-5.5,-9.75,0,-8,3.75,0,-7.5,0,-8.25,-12,11.5,0,-8.75,-0.25,-7.75,-10.75,-6.25,-9.5,1.5,0,-10.25,-7,0,9.25,0,10.25,9.5,12.25,3.25,5.25,4.5,0,-10.75,9,0,0,-5.5,-3,-11.25,-9.25,2.5,0,0,0.75,6.5,-2.25,-12.5,-1.5,-9.5,-5.75,-6.75,6,8.5,5.25,-3.5,-7,0,0,5.5,-3,8.5,3.25,1.5,2.75,10.75,10.25,6.5,1.75,11,-5,-11.25,-7.5,0,10.25,-6.75,-4.75,3,6,-1.5,-4.75,-9.75,-0.5,0,4,-4.25,10,-6.75,11.5,-9,4.75,0,3.5,-5,-5.5,0,-5.5,12,0,4.5,-4.5,2.25,0,-10,0,0,0,0,10.75,0,-11.75,-3.75,-10.25,5,0,0,10.25,0,9.5,-7.5,-4.25,2.75,7.75,1.5,0,-4.25,0
-38.25,-9.5,10.25,-7.25,0,-5.75,8.25,-24.25,5.5,3.75,-6.75,0,-2.75,12.5,0,-10.75,0,9.5,7.5,10.5,5.5,9,0,-12.25,1.75,-0.75,7.5,2.75,1.5,-6,10.5,11.25,-11.25,-2.5,-7.25,-3.25,-11.25,-10.5,-8.75,9.25,0,10,2,9.5,-8,9.5,-6.5,-11.25,-4,2.75,0,9.25,-4.5,-5.75,5.5,9.75,-10.75,-2,-2.5,0,12.5,-2.75,12.25,-6.25,10,0,1.75,9.75,-7.75,12,0.25,-4.25,0,-7.75,-6.25,1.75,11,0,2.5,-6.75,0,3,0,0,7.75,0,11.75,3.75,4.5,7,5.25,-11.25,-7.75,1,-10,0,1,0,-11.75,0,0.75,7,-3.75,-3.5,6.75,-2.5,-9.5,-0.5,-1,-5,-3.75,-2.75,6.75,6.5,0,0,6,0,-2.25,0,-4.5,0,-2.75,10.5,-4.75,5.25,0,9.5,7.25,0,10.5,1.25,10,0.5,3.75,-1.5,6.25,10,-6.5,-4.5,4.5,-12.5,-0.5,3.75,-6.5,-12,-9.5,-0.5,0,5.25,-8.5
20.25,7.75,12.25,6,11,4.25,0,5.5,-0.75,1.5,3.5,-3.75,-4.25,3,-5,6.25,6.25,0,-0.25,10.75,-1,0,-2.25,-0.25,-11.25,0,1.25,-0.25,0,-0.75,-6.25,0,0.25,0,4.75,0,0,-1.75,0,-10.25,-8.5,-11.5,-1.5,-10.25,0,-0.5,-5.75,-3.5,1.25,1.5,8.25,-5.5,5.25,-12.5,-11,0,-7.75,-12.5,-11.75,-5.75,7.5,-2.25,1.5,4.5,-9.75,-3.25,-11.5,-9,4.25,-7.5,-0.5,-7.25,3.5,5,-6.5,4,-5.75,0.75,-0.75,2.5,-5.5,0,-2.5,-4.5,-12.25,0,-7.5,-2.75,2.5,5.5,8.25,0,11.75,-10.5,-1.5,0,-2.25,-2,7.75,0,-0.25,1.75,0,-1.5,0,4,-7,0,-2,8.5,-4.25,2,6,-2,0,2.25,12,-4.75,-0.75,0,11,3,11.25,8.5,4.25,0,-1,7.75,-8.5,-0.25,-3,12,-4.25,11.5,0,8,6.5,8.75,-4,5.5,11.25,-9.5,0,3.25,-10.75,-9,0.25,7.5,5.25,0,-7.75
78.5,-5.5,-4,11.25,10.25,-6.25,11.75,3.75,1.5,11.75,4.5,0,-4.75,3.5,8.25,0,-5.75,1.75,-6,3.5,0.5,-9,-0.25,-7,-3,7.5,-7,3,-12.5,1,-0.5,2,-4,0,0,4.25,4.5,-3.5,-10.75,10.75,-4.75,-7,-9.25,0,10.25,9.75,-9.5,3.5,3.75,4,-3.5,-10.75,-1.75,2.5,0,9,0,-4,5.25,0,0.5,-6.75,-4.25,10,-7.75,0.75,-4.25,4,-8.75,0,0,0,4.25,10,9,5.75,-5.5,-3.75,-12,-6.75,2.75,0,-12.25,-1.25,0,-7.25,-3.75,4,2.25,0.25,0,3.75,-4.75,-1.75,0,0.5,-4.25,1,12.5,-5.25,-0.5,0,-8,0,5,9.25,2.5,0,2,0.5,-3.75,0,5,0,0,0,6.5,-12,9.75,-6.75,0,-5.25,0,3.25,-2.25,0,-11.75,3,9.25,-6.75,-11.25,5.5,-2,0,-6,-6.5,-8,-10.75,10.25,-7.25,-12,-8,0,0,-10.25,-0.25,-8.75,1.75,-9.25,12,9.25
