1170,8.5,18.5,65,-64.25,23,-101.5,12.5,-81.25,-139.25,-144.25,-29.75,23.75,39.75,-22,76.5,-22,43.5,45.75,61,-74.25,58.75,49,-85,12.5,-95.25,-164,61.75,99.25,-135.5,4,17.75,-3.75,-57.75,26.25,-108,-53.75,114.25,-111,45,-8,58.75,-58.5,78.75,63.25,-45.25,70.75,-10.25,23.75,-54.25,53.25,-68.25,39.5,49.5,15.25,103.25,-58.25,-4.5,7.25,-36.5,14,55,68,95.75,-94.5,-37.75,45.75,-48,-63,55.5,-55.25,87.75,-71,14.5,-18,-168.5,-83.75,-29.75,-28.5,-4.25,124.5,-46.75,-38.25,-14.25,50.75,-196,-64,65.5,-90.75,23.25,58.75,-38.25,-81.75,-89.5,17.25,-16.75,53.75,-67.5,-132.5,-58.25,3.5
8.5,25,-8.5,-2,2,1,11,-4,0,-0.25,10.5,3.25,5.75,-3.25,0.5,-6.25,2.25,2.5,10,3.25,-11,-8.75,-3,6.5,12,-8.75,3,5.25,8.75,-8.25,-8,-6.25,-4.25,-4.5,-4.25,5,-2.5,-9,-2.25,-9.5,9.75,1,-6.5,9.75,-1.25,9.5,12.25,-8.75,3,-8,9.75,-5.75,-4.75,4.25,-8.75,11.75,4.25,-7.75,-1.75,-5.75,-8.75,-4.25,11,6.75,0.75,-8,-10.5,-5.75,5.75,5.75,11.75,12.5,3,-9.5,-7.5,2,0,8.25,-5,-4,-7.25,-2.25,-6.5,7,-3.5,8.75,-8,4.75,8.75,-12.5,1.5,6,5.25,-10.5,8,5.75,-8.75,-6.75,-7,-6.75,-8
18.5,-8.5,-1,-1.25,12,0,8.75,12.5,6.75,1,0.5,-12,3.25,0.5,-6.75,0.75,-6.25,-7.25,6.75,-12,12.5,-8.25,5.75,-8.75,11.5,-7.5,3,-11,9.25,3.5,-0.75,1.25,2,9.25,10,-1,2.5,1.75,-12.5,11,7,-8.5,6,3.25,-7.25,10.75,-6.75,-5.5,-12.25,-10.25,-0.75,-8.5,0,1.25,-6.75,-7.5,0.75,-7.75,-7,9.75,-5,6.5,0.75,-4.25,1.25,-8.75,2.5,-3,-12,-12.25,6,-6.25,-8.5,2.5,5.25,5.75,-12.5,9.75,-1,-10,-11.75,3.25,-10,4.25,4.5,11.5,9.5,12.25,-0.25,-5.75,0,11.25,-2.5,10.5,2.5,1.25,-2,0.75,4.5,-9,8.75
65,-2,-1.25,-2.25,-3.75,-8.25,-8,3.5,-10.5,11.25,-0.5,7.5,1.25,-7.5,10.75,5.75,8.5,7.25,8.25,12.25,7.25,-10,3,6,2.5,3.75,0.25,-10.5,-12.25,-8.75,3.75,-1.25,-7.5,-8.5,9.5,1,-3,-11.25,5,-8.75,12.25,6.5,2,7.5,4,8.75,-1.25,5.25,9.75,-11.75,-12.25,8.75,-8.25,-3.25,12.5,12.25,-8.25,8,0.75,-8.75,-1.5,-0.75,-9.5,-5.25,-10.75,-2.5,4.5,9,-5,-8,-12.5,-12.25,9.25,1.5,4.25,6,1,-6.75,-4.75,-12,-9.5,-12,-10.5,-11.25,-5.5,8.5,-4.75,-6.75,2,0.5,-10.25,-1.75,2.25,0.5,-2.5,7.25,-8.25,-2.5,5.75,2,10.75
-64.25,2,12,-3.75,-19.5,-6.25,9.5,-6.25,-1,3.25,-9.25,-7.25,3.25,8.25,1,-7.5,-3.75,-4.5,3.5,-6.5,6.75,-3,-8.75,12.5,6,-7.5,11.5,3,-7.5,4,2,-10,2.5,3.75,6.75,6.25,11.75,-3.25,8,0,6.25,-4,1.75,-10.25,10.25,8.25,-1.5,2.5,0.75,7.75,7.5,10.25,7,1.25,8.5,0,1.25,6.5,6,-3.25,0.5,-7.75,10,3,-8,-2,4.5,-2.75,7.25,-8.5,12.5,-3.75,-8.75,-5.75,-2,1.25,-8,-5.5,3,1.5,4.75,6.25,-10,-10.25,9.75,8.75,-0.5,-9.75,-6,-10.5,-1.25,2.5,11,-11,9.5,5.5,-3.75,-11.75,1.25,9.75,10.5
23,1,0,-8.25,-6.25,15.75,6,-11,-3,1,12,2.5,-7,7,-10.75,-1,-10.75,2,7.5,-2.75,4,9.25,1.25,5.25,-9.25,10.25,-7,-12.25,6.5,9.25,8.75,-5.25,-4.75,2.5,5.5,6.25,10,12.5,-4.25,-6,10.5,-1,-3.5,-7.75,-8,-2.25,12,-12.25,2.25,5.5,-9,11,4,-0.25,-0.25,0,-5.5,-3.25,-3.5,-10.5,-2.5,-0.25,-6.75,-6,3.75,-12.5,-6,-3.5,-3.25,-0.5,-11.25,3,-1.75,2,-3.75,-5.75,4.5,-4.75,4.5,-3.25,-11,-2.25,-4,10.5,1,2.75,11.5,8.75,-3.25,6.25,-5.25,-5.75,-3.25,2.25,9.5,-10.5,-6.75,10.75,0,11.75,-6.75
-101.5,11,8.75,-8,9.5,6,-25,0.25,2.25,-1,-2.5,-0.25,6.75,10,-9.5,9.25,-3.25,7.5,9,5.75,9,4.5,2,6.75,-4.25,5.75,-6.25,5.25,-7,-5,-7.5,6.25,4.75,10,-11.5,-6.25,8,5.75,-7.75,-10.5,7.5,-4.5,-1.25,-2.75,6.5,2.5,-9.5,2.5,7.25,8.75,-0.25,-1.75,-12.25,-6,3.25,6.5,6.25,0.75,-7,8.5,-11,-2,-12.25,10.75,7.5,-3,-5.25,-7.5,1.25,10.25,0.5,11,-1.25,3.25,-3,3.5,8.5,-10.25,-2.75,11.25,0.75,12,6.75,3,3.5,10.25,2.25,-11.75,-4.75,3.5,9.25,1.5,6,9.25,-9.5,11.5,-5.75,5,-11.5,-3,0.25
12.5,-4,12.5,3.5,-6.25,-11,0.25,-19,9,6.5,2.5,0.5,-10,-9.25,10.25,9.25,-1.5,-4.5,8.25,-2.75,6.75,-8.75,-3.5,-2,9,-6,-9.25,5.75,12.5,10.5,-9.25,6.5,-7.5,-9.75,-10.75,-4.25,-11.75,5,-7.75,6.25,10,-1.75,11.25,-4.5,7,0.5,4.25,1.5,-1,5.5,-0.5,-3,6.25,-0.25,12,-3.75,-8.25,-1,-10.25,9,3.5,10.75,-11.75,-11.5,-1.25,11.5,-4.25,2.25,-2,12.25,6.75,6.75,0,8.25,-2,-7.75,-1,3.75,6,4.75,-9,-12.5,6.75,1.5,4.5,-7,4.5,-4.75,2.75,-8.75,-10.75,-11.75,-10,10,4.5,7.5,4,3.25,-4.5,-4.25,-12.5
-81.25,0,6.75,-10.5,-1,-3,2.25,9,21,6.25,-11.5,12.25,12,10.5,-3.5,-9.25,2,9.25,5.75,-9.5,6,-4.25,11.5,-8.25,1.5,-7,4,3.5,-4.5,-1.25,3.75,-11,12.5,6.5,8,9.75,11.75,6.5,1.5,-5.5,4.75,0.25,0.25,1.75,0,3.5,-5.75,3.5,-1.5,10.25,-7.75,8,-8,10,-6.5,-5.25,-8,-5.5,-11.25,0.5,-9.5,0.5,-10.75,-8.75,1.75,9.25,5.25,-7.25,3.5,-11.75,-9.75,-1,0,3,7,12.25,-2.25,-0.5,9.5,11,10,-9,12,-10.25,4.25,10.25,-5.5,-8.25,-8.5,9.75,-0.25,-5.75,2.5,8.25,-8.25,8.5,-2.75,-6,-3.25,-7,12
-139.25,-0.25,1,11.25,3.25,1,-1,6.5,6.25,-14.75,-8.5,-2.5,-3.5,10,-9.75,9,5.75,5.75,6.75,-7.75,10.25,-1.25,4.25,3.25,-11,-6.75,9.75,4.75,-8.75,2.5,-1.75,-9.5,-3,-7,2.75,12.25,1.5,6.5,4.75,11,-9.5,8.25,7.25,1.25,3.25,3.5,8.75,-9.5,9.75,0.25,4.25,-6,-4,2.5,11,4.75,12,-11.25,5,11.75,6,6.25,-8.5,3.75,1.25,-9.5,3,5.25,-6.75,-10,-1.25,5,-7.75,-2,5.5,3.5,-3.25,-5.25,10.75,12.5,-4.75,-10.5,4.25,0.75,-4,-7.75,-1,-5.5,10.75,12,9.5,12.5,12,-12.25,-7,4.75,-12.5,3.25,11,7.5,11.5
