-0.5,-79.75,-10,-32.75,40.75,81.5,3,66.75,18.5,15.25,3.75,-16.75,-82,19.5,-20.25,22.75,26.25,-14,46.25,7,0.25,-1.75,-68.75,-0.25,-2.25,-21,85.75,73,-3,-105.25,43.75,73,-17.75,37.25,-30.75,-32.25,-9.5,-27.75,-15.5,0.75,16,-28.5,83,-33.5,-11.25,-3,35,72.75,5.25,20.25,-6.5,-105.75,19.25,-5.75,50.75,6.5,96.75,-33.5,55.75,-0.25,-40.5,42.25,-50.5,-42.5,1.5,-17.5,-31,-29.5,-36,68,8.75,13.75,56.75,61,71.25,19,-77.25,30.25,106.5,-16.5,45.75,-61.75,8.75,-35.75,-75.5,65,-36,-43.5,-2,-15.25,-26,13.75,-30.25,-55,10,36,26.5,0.5,99.5,-61,-7,-66.5,13.5,-1.5,20.75,12,-100.5,-11,-4.5,-58.75,59.75,-35.75,-32.5,44.5,-7,-63.25,44.5,-43,-24.25,-41.75,-5.75
-79.75,25,-0.75,12,0,0,-8.5,0,9.25,0,0,0,0,-9.5,0,7.75,-5.5,-5.5,0,-6,0,-0.75,0,0,10.75,0,0,4.5,9.25,0,0,0,0,0,0,7.25,0,0,9.75,0,0,0,0,0,0,0,0,-4.75,11.75,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,5.75,-4.25,0,0,0,0,-6.25,0,3.75,-5.5,0,0,0,3,0,0,10,0,0,0,3.25,-3,0,0,-4.25,0,0,0,0,0,0,0,-7.75,-3.5,0,0,0,0,0,11.5,0,0,0,0,11.25,0,7.75,-11.25,0,0,0,4.75,0,-0.75,0,0,0,0
-10,-0.75,23.75,-11.75,1,0,-12.25,0,-10.75,0,0,0,0,0,0,0,0,0,0,0,0,-9.75,12.25,0,-2.75,0,5.25,-0.75,0,0,-1,10.25,0,0,0,0,-6.25,0,0,11,-10.5,0,-11.5,0,0,0,0,0,10,0,0,1.5,0,0,-4.25,0,-11.25,0,-2.25,0,0,-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,-3,0,0,0,0,12.25,0,0,0,0,0,0,0,0,11,5.75,-11.25,0,-12,0,0,0,0,0,0,0,0,11,0,3.5,0,-7.25,0,0,0,0,0,0,0,0,5.25,12.5,0,0,0
-32.75,12,-11.75,-1.75,0,0,10,0,0,0,0,0,0,0,0,-4,9.5,-9,-6.75,0,0,0,0,0,0,0,0,0,0,7.5,11.5,0,10.5,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,-6.5,0,0,0,0,0,0,0.75,0,-0.5,0,0,0,0,0,-11.25,-10.25,-12.5,0,0,0,-1.25,0,-11,7,2.5,0,0,11.25,0,0,0,0,3.5,0,0,3,-3.75,0,3.5,10.75,0,0,0,0,0,0,0,0,-4,0,0,0,0,8.75,0,0,0,0,0,0,0,-9.5,0,0,8.75
40.75,0,1,0,-10.75,0,0,0,0,-3,5.5,0,7.25,0,9.25,9.25,0,0,0,0,0,0,0,0,-12.5,0,0,0,0,-8,0,0,0,0,0,0,-12.5,0,7,0,0,0,0,0,-1.5,0,3.25,-3.5,-8.75,0,0,0,-9,0,0,-0.5,0,0,0,0,0,3.5,10.25,12.25,0,0,-4,10,0,0,0,-8.5,0,0,-6.25,0,0,0,0,0,-11.5,0,0,-5.75,0,5.75,-1.25,0,-2.75,0,0,-2.5,0,0,-5.75,-1,-1.25,0,0,0,-12.5,-2.25,3.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
81.5,0,0,0,0,-16.25,7,-2.25,-11,0,-3.5,0,-1.75,0,0,0,6,0,12.5,-11.5,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,-8.75,0,0,0,0,0,0,0,0,0,-7.5,0,5.75,0,0,-0.5,0,-0.25,-2.75,0,0,0.25,0,7.25,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,-10.25,-1.5,-8,0,9.75,-2.75,0,0,0,0,0,-5.25,0,0,0,0,0,0,-1.75,0,-7.25,0,0,0,-3.5,0,0,0,-0.75,0,0,-1,0,0,0,0,0,0,3.25,0,0,0,0,-3.75,0,0,0,0,0
3,-8.5,-12.25,10,0,7,10.75,1,0,0,0,12.25,-1,0,0,9.25,0,0,0,0,0,-8,2.5,-7.75,0,0,6.75,-5.75,0,0,0,-2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-5.5,-3.5,0,12.5,0,0,0,1.5,0,0,0,0,0,0,0,-9.75,0,12,0,0,0,0,2.5,5.75,0,0,0,0,12,0,-8.75,-7.75,-0.75,-6.5,5,0,-6.5,0,0,0,-7.75,0,0,0,-11.25,-8,0,0,0,2.5,0,8.75,0,0,0,8.75,11.25,0,0,0,2.25,0,0,-4,0,5,0,0,0,-0.25,0,-6.5,0,0,-10.5
66.75,0,0,0,0,-2.25,1,1.25,-9.25,7.5,0,0,-8.25,-11.75,0,0,10.75,0,-1,10,-9,0,6,0,-9,0,-11.5,-4.25,-5.75,0,0,-7.5,0,0,0,0,0,0,0,-4.25,0,1,0,0,-1.5,0,0,0,8.25,0,0,0,0,-1.5,0,-7.5,0,0,0,-11.5,0,0,0,0,0,-9.25,-7.25,0,0,0,6,0,11.25,0,0,0,0,0,0,-0.75,-6.5,0,0,-9.25,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,-8.75,0,0,0,0,0,0,-12.5,-3,0,-0.5,0,0,0,0.75,0,0,12.5,0,0,12.5
18.5,9.25,-10.75,0,0,-11,0,-9.25,20.5,0,0,0,0,0,0,0,-10.25,0,0,0,5.75,0,0,-4.25,0,-5.75,0,0,0,-5.5,0,0,0,-8,0,0,0,4,-8.5,4.75,0,0,0,0,0,3,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,11.25,-0.5,-9,0,0,0,0,0,0,-9,0,0,4.5,0,-1.5,0,0,0,-7.75,0,-7.25,0,0,0,0,0,0,0,0,-1.5,0,10.75,-6.75,9.25,0,0,0,0,0,0,10,0,0,0,0,9.25,-4.75,9.5,0,0,-7,0,0,0,0,11.5,-6.75,-11,0,0,0
15.25,0,0,0,-3,0,0,7.5,0,-24,0,0,5.5,0,-1.25,0,0,0,-2.25,0,0,0,0,0,2.5,-5.25,0,4.75,0,0,0,0,0,0,0,-3.25,0,0,-11.5,0,0,12,0,-11,0,0,2.25,-9.5,0,0,-1,0,0,-7.25,0,0,0,8,0,0,-7.25,0,0,0,0,12.25,0,-4.5,0,0,0,0,0,0,0,-0.75,0,0,0,0,7,2.75,0,0,0,0,0,-10.25,5.75,0,0,0,0,0,-7.5,0.75,0,0,0,0,0,11.25,10,0,7.25,0,3.75,4.5,0,0,0,0,-8,-1.75,0,0,0,0,-3.75,0,0
